fileName_clean,output
classroominv,"classroominv,60/0"
cvinv,"cvinv,60/56"
graphsacyclic,"graphsacyclic,8/7"
graphscomplete,"graphscomplete,8/8"
graphsnoloops,"graphsnoloops,8/5"
graphsoriented,"graphsoriented,8/0"
graphsstronglyConnected,"graphsstronglyConnected,8/0"
graphstransitive,"graphstransitive,2/0"
graphsundirected,"graphsundirected,8/0"
graphsweaklyConnected,"graphsweaklyConnected,10/2"
ltsinv,"ltsinv,60/38"
productioninv,"productioninv,60/59"
trashinv,"trashinv,57/1"
