fileName_clean,output
classroominv,"classroominv,999/0"
cvinv,"cvinv,137/38"
graphsacyclic,"graphsacyclic,28/1"
graphscomplete,"graphscomplete,34/1"
graphsnoloops,"graphsnoloops,17/6"
graphsoriented,"graphsoriented,18/2"
graphsstronglyConnected,"graphsstronglyConnected,24/2"
graphstransitive,"graphstransitive,2/0"
graphsundirected,"graphsundirected,22/5"
graphsweaklyConnected,"graphsweaklyConnected,138/8"
ltsinv,"ltsinv,249/68"
productioninv,"productioninv,61/25"
trashinv,"trashinv,206/0"
