jsonFileName,Errors,Counterexamples,NoInstances
lts_inv5_48_4_False_alloyAnalyzerReport.json,0,1,0
graphs_weaklyConnected_113_5_False_alloyAnalyzerReport.json,0,1,0
trash_inv4_3_2_False_alloyAnalyzerReport.json,1,0,0
trash_inv6_35_2_False_alloyAnalyzerReport.json,1,0,0
classroom_inv11_67_1_False_alloyAnalyzerReport.json,1,0,0
trash_inv7_14_2_False_alloyAnalyzerReport.json,1,0,0
lts_inv4_17_3_False_alloyAnalyzerReport.json,1,1,0
classroom_inv8_22_2_False_alloyAnalyzerReport.json,1,0,0
classroom_inv15_34_1_False_alloyAnalyzerReport.json,1,0,0
classroom_inv2_1_2_False_alloyAnalyzerReport.json,1,0,0
lts_inv5_36_3_False_alloyAnalyzerReport.json,1,1,0
classroom_inv3_21_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv9_39_0_False_alloyAnalyzerReport.json,1,0,0
production_inv4_21_3_False_alloyAnalyzerReport.json,1,1,0
classroom_inv11_116_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv12_74_1_False_alloyAnalyzerReport.json,1,1,0
classroom_inv5_40_0_False_alloyAnalyzerReport.json,1,0,0
trash_inv5_26_2_False_alloyAnalyzerReport.json,1,0,0
classroom_inv5_42_5_False_alloyAnalyzerReport.json,1,0,0
graphs_weaklyConnected_45_1_False_alloyAnalyzerReport.json,0,1,0
cv_inv3_30_3_False_alloyAnalyzerReport.json,0,1,0
classroom_inv14_170_3_False_alloyAnalyzerReport.json,1,0,0
cv_inv2_29_4_False_alloyAnalyzerReport.json,1,1,0
cv_inv2_11_3_False_alloyAnalyzerReport.json,1,0,0
classroom_inv14_9_3_False_alloyAnalyzerReport.json,1,0,0
lts_inv7_04_3_False_alloyAnalyzerReport.json,0,1,0
lts_inv3_11_3_False_alloyAnalyzerReport.json,1,0,0
classroom_inv13_11_4_False_alloyAnalyzerReport.json,1,1,0
trash_inv9_4_5_False_alloyAnalyzerReport.json,1,0,0
classroom_inv11_200_1_False_alloyAnalyzerReport.json,1,0,0
trash_inv5_3_5_False_alloyAnalyzerReport.json,1,0,0
classroom_inv14_147_3_False_alloyAnalyzerReport.json,1,0,0
classroom_inv14_6_4_False_alloyAnalyzerReport.json,1,0,0
lts_inv7_09_1_False_alloyAnalyzerReport.json,0,1,0
trash_inv5_1_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv12_43_1_False_alloyAnalyzerReport.json,1,1,0
trash_inv5_29_5_False_alloyAnalyzerReport.json,1,0,0
classroom_inv11_8_2_False_alloyAnalyzerReport.json,1,0,0
classroom_inv11_199_5_False_alloyAnalyzerReport.json,1,0,0
trash_inv5_11_2_False_alloyAnalyzerReport.json,1,0,0
graphs_weaklyConnected_48_3_False_alloyAnalyzerReport.json,1,0,0
classroom_inv14_139_4_False_alloyAnalyzerReport.json,1,0,0
classroom_inv3_3_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv14_101_3_False_alloyAnalyzerReport.json,1,0,0
lts_inv2_07_3_False_alloyAnalyzerReport.json,0,1,0
graphs_weaklyConnected_36_4_False_alloyAnalyzerReport.json,1,0,0
lts_inv5_47_3_False_alloyAnalyzerReport.json,0,1,0
classroom_inv15_47_4_False_alloyAnalyzerReport.json,1,0,0
graphs_weaklyConnected_124_5_False_alloyAnalyzerReport.json,1,0,0
lts_inv4_66_3_False_alloyAnalyzerReport.json,0,1,0
classroom_inv15_45_1_False_alloyAnalyzerReport.json,1,0,0
classroom_inv6_22_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv6_18_2_False_alloyAnalyzerReport.json,1,0,0
classroom_inv10_37_1_False_alloyAnalyzerReport.json,1,0,0
trash_inv6_44_2_False_alloyAnalyzerReport.json,1,0,0
lts_inv1_14_3_False_alloyAnalyzerReport.json,0,1,0
trash_inv10_34_4_False_alloyAnalyzerReport.json,1,1,0
classroom_inv10_7_2_False_alloyAnalyzerReport.json,1,0,0
lts_inv5_39_4_False_alloyAnalyzerReport.json,0,1,0
lts_inv4_20_3_False_alloyAnalyzerReport.json,1,1,0
classroom_inv14_22_1_False_alloyAnalyzerReport.json,1,0,0
classroom_inv9_34_2_False_alloyAnalyzerReport.json,1,0,0
lts_inv5_01_3_False_alloyAnalyzerReport.json,1,1,0
trash_inv6_38_0_False_alloyAnalyzerReport.json,1,0,0
trash_inv7_23_2_False_alloyAnalyzerReport.json,1,0,0
trash_inv7_19_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv5_6_4_False_alloyAnalyzerReport.json,1,0,0
cv_inv3_20_2_False_alloyAnalyzerReport.json,0,1,0
classroom_inv5_4_1_False_alloyAnalyzerReport.json,1,0,0
classroom_inv14_160_2_False_alloyAnalyzerReport.json,1,0,0
classroom_inv5_52_4_False_alloyAnalyzerReport.json,1,0,0
classroom_inv13_45_0_False_alloyAnalyzerReport.json,1,0,0
graphs_undirected_12_5_False_alloyAnalyzerReport.json,0,1,0
classroom_inv11_106_1_False_alloyAnalyzerReport.json,1,0,0
classroom_inv5_50_1_False_alloyAnalyzerReport.json,1,1,0
cv_inv3_9_4_False_alloyAnalyzerReport.json,0,1,0
classroom_inv14_126_2_False_alloyAnalyzerReport.json,1,0,0
classroom_inv11_210_0_False_alloyAnalyzerReport.json,1,0,0
trash_inv3_4_4_False_alloyAnalyzerReport.json,1,1,0
cv_inv2_47_2_False_alloyAnalyzerReport.json,1,1,0
classroom_inv12_3_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv5_16_1_False_alloyAnalyzerReport.json,1,1,0
classroom_inv11_142_4_False_alloyAnalyzerReport.json,1,0,0
graphs_acyclic_20_5_False_alloyAnalyzerReport.json,1,0,0
production_inv3_1_1_False_alloyAnalyzerReport.json,0,1,0
lts_inv5_58_5_False_alloyAnalyzerReport.json,1,0,0
lts_inv4_41_2_False_alloyAnalyzerReport.json,1,1,0
classroom_inv4_9_4_False_alloyAnalyzerReport.json,1,0,0
classroom_inv14_43_0_False_alloyAnalyzerReport.json,1,0,0
classroom_inv9_55_3_False_alloyAnalyzerReport.json,1,0,0
classroom_inv11_33_5_False_alloyAnalyzerReport.json,1,0,0
trash_inv10_13_5_False_alloyAnalyzerReport.json,1,0,0
trash_inv7_42_3_False_alloyAnalyzerReport.json,1,0,0
classroom_inv1_7_2_False_alloyAnalyzerReport.json,1,1,0
classroom_inv14_85_2_False_alloyAnalyzerReport.json,1,0,0
cv_inv2_6_4_False_alloyAnalyzerReport.json,1,1,0
lts_inv4_07_2_False_alloyAnalyzerReport.json,1,0,0
cv_inv1_12_2_False_alloyAnalyzerReport.json,0,1,0
classroom_inv8_32_3_False_alloyAnalyzerReport.json,1,1,0
classroom_inv11_77_0_False_alloyAnalyzerReport.json,1,0,0
trash_inv6_25_3_False_alloyAnalyzerReport.json,1,0,0
trash_inv10_2_4_False_alloyAnalyzerReport.json,1,0,0
