fileName_clean,output
classroominv,"classroominv,60/6"
cvinv,"cvinv,60/59"
graphsacyclic,"graphsacyclic,8/4"
graphscomplete,"graphscomplete,8/6"
graphsnoloops,"graphsnoloops,8/6"
graphsoriented,"graphsoriented,8/3"
graphsstronglyConnected,"graphsstronglyConnected,8/1"
graphstransitive,"graphstransitive,2/1"
graphsundirected,"graphsundirected,8/0"
graphsweaklyConnected,"graphsweaklyConnected,10/1"
ltsinv,"ltsinv,60/46"
productioninv,"productioninv,60/58"
trashinv,"trashinv,57/10"
