fileName_clean,output
classroominv,"classroominv,999/1"
cvinv,"cvinv,137/32"
graphsacyclic,"graphsacyclic,28/0"
graphscomplete,"graphscomplete,34/8"
graphsnoloops,"graphsnoloops,17/8"
graphsoriented,"graphsoriented,18/2"
graphsstronglyConnected,"graphsstronglyConnected,24/9"
graphstransitive,"graphstransitive,2/0"
graphsundirected,"graphsundirected,22/0"
graphsweaklyConnected,"graphsweaklyConnected,138/24"
ltsinv,"ltsinv,249/115"
productioninv,"productioninv,61/33"
trashinv,"trashinv,206/0"
