fileName_clean,output
classroominv,"classroominv,999/21"
cvinv,"cvinv,137/71"
graphsacyclic,"graphsacyclic,28/0"
graphscomplete,"graphscomplete,34/4"
graphsnoloops,"graphsnoloops,17/2"
graphsoriented,"graphsoriented,18/2"
graphsstronglyConnected,"graphsstronglyConnected,24/4"
graphstransitive,"graphstransitive,2/0"
graphsundirected,"graphsundirected,22/2"
graphsweaklyConnected,"graphsweaklyConnected,138/20"
ltsinv,"ltsinv,249/107"
productioninv,"productioninv,61/35"
trashinv,"trashinv,206/12"
