Setting,ErrorsCount,CounterexamplesCount,NoInstancesCount,RepetitionCount,WrongMessageFormat
Setting-10,3718,1719,0,167,5169
Setting-11,3824,1723,1,242,5139
Setting-12,4952,1586,3,244,3992
