fileName_clean,output
TotalFixed,"TotalFixed,1/0"
addr,"addr,1/0"
arr,"arr,2/1"
balancedBST,"balancedBST,3/1"
bempl,"bempl,1/0"
cd,"cd,2/2"
ctree,"ctree,1/1"
dll,"dll,4/4"
farmer,"farmer,1/1"
fsm,"fsm,2/2"
grade,"grade,1/1"
other,"other,1/1"
student,"student,19/14"
