fileName_clean,output
addr,"addr,1/0"
arr,"arr,2/0"
balancedBST,"balancedBST,3/0"
bempl,"bempl,1/0"
cd,"cd,2/1"
ctree,"ctree,1/0"
dll,"dll,4/1"
farmer,"farmer,1/1"
fsm,"fsm,2/0"
grade,"grade,1/0"
other,"other,1/1"
student,"student,19/0"
