fileName_clean,output
addr,"addr,1/0"
arr,"arr,2/1"
balancedBST,"balancedBST,3/1"
bempl,"bempl,1/0"
cd,"cd,2/0"
ctree,"ctree,1/0"
dll,"dll,4/3"
farmer,"farmer,1/1"
fsm,"fsm,2/0"
grade,"grade,1/0"
other,"other,1/1"
student,"student,19/11"
